,region,num_article,population,coverage,B,C,FA,GA,Start,Stub,high_quality
0,AFRICA,6851,1172400000.0,0.0005843568747867622,85.0,895.0,30.0,95.0,2250.0,3496.0,1.824551160414538
1,ASIA,11531,4513100000.0,0.0002555006536526999,226.0,1539.0,56.0,254.0,3669.0,5787.0,2.688405168675744
2,EUROPE,15864,734590000.0,0.002159572006153092,257.0,1773.0,116.0,206.0,4803.0,8709.0,2.0297528996469993
3,LATIN AMERICA AND THE CARIBBEAN,5169,628270000.0,0.0008227354481353558,51.0,527.0,19.0,50.0,1469.0,3053.0,1.3348810214741729
4,NORTHERN AMERICA,1921,365200000.0,0.000526013143483023,73.0,454.0,30.0,69.0,774.0,521.0,5.153565851119208
5,OCEANIA,3128,39780000.0,0.007863247863247864,18.0,374.0,14.0,52.0,985.0,1685.0,2.1099744245524295
